L1,L2,R1,R2,R3
COL4A1,,ITGA2,ITGB1,
COL4A2,,ITGA2,ITGB1,
COL4A3,,ITGA2,ITGB1,
COL4A4,,ITGA2,ITGB1,
COL4A5,,ITGA2,ITGB1,
COL4A6,,ITGA2,ITGB1,
COL6A1,,ITGA2,ITGB1,
COL6A2,,ITGA2,ITGB1,
COL6A3,,ITGA2,ITGB1,
COL6A5,,ITGA2,ITGB1,
COL6A6,,ITGA2,ITGB1,
COL9A1,,ITGA2,ITGB1,
COL9A2,,ITGA2,ITGB1,
COL9A3,,ITGA2,ITGB1,
LAMA1,,ITGA2,ITGB1,
LAMA2,,ITGA2,ITGB1,
LAMA3,,ITGA2,ITGB1,
LAMA4,,ITGA2,ITGB1,
LAMA5,,ITGA2,ITGB1,
LAMB1,,ITGA2,ITGB1,
LAMB2,,ITGA2,ITGB1,
LAMB3,,ITGA2,ITGB1,
LAMC1,,ITGA2,ITGB1,
LAMC2,,ITGA2,ITGB1,
CHAD,,ITGA2,ITGB1,
LAMA1,,ITGA3,ITGB1,
LAMA2,,ITGA3,ITGB1,
LAMA3,,ITGA3,ITGB1,
LAMA4,,ITGA3,ITGB1,
LAMA5,,ITGA3,ITGB1,
LAMB1,,ITGA3,ITGB1,
LAMB2,,ITGA3,ITGB1,
LAMB3,,ITGA3,ITGB1,
LAMC1,,ITGA3,ITGB1,
LAMC2,,ITGA3,ITGB1,
RELN,,ITGA3,ITGB1,
THBS1,,ITGA3,ITGB1,
THBS2,,ITGA3,ITGB1,
THBS3,,ITGA3,ITGB1,
THBS4,,ITGA3,ITGB1,
COMP,,ITGA3,ITGB1,
COL1A1,,ITGA3,ITGB1,
COL1A2,,ITGA3,ITGB1,
COL2A1,,ITGA3,ITGB1,
COL4A1,,ITGA3,ITGB1,
COL4A2,,ITGA3,ITGB1,
COL4A3,,ITGA3,ITGB1,
COL4A4,,ITGA3,ITGB1,
COL4A5,,ITGA3,ITGB1,
COL4A6,,ITGA3,ITGB1,
COL6A1,,ITGA3,ITGB1,
COL6A2,,ITGA3,ITGB1,
COL6A3,,ITGA3,ITGB1,
COL6A5,,ITGA3,ITGB1,
COL6A6,,ITGA3,ITGB1,
COL9A1,,ITGA3,ITGB1,
COL9A2,,ITGA3,ITGB1,
COL9A3,,ITGA3,ITGB1,
LAMA1,,ITGA6,ITGB1,
LAMA2,,ITGA6,ITGB1,
LAMA3,,ITGA6,ITGB1,
LAMA4,,ITGA6,ITGB1,
LAMA5,,ITGA6,ITGB1,
LAMB1,,ITGA6,ITGB1,
LAMB2,,ITGA6,ITGB1,
LAMB3,,ITGA6,ITGB1,
LAMC1,,ITGA6,ITGB1,
LAMC2,,ITGA6,ITGB1,
LAMC3,,ITGA6,ITGB1,
LAMA1,,ITGA7,ITGB1,
LAMA2,,ITGA7,ITGB1,
LAMA3,,ITGA7,ITGB1,
LAMA4,,ITGA7,ITGB1,
LAMA5,,ITGA7,ITGB1,
LAMB1,,ITGA7,ITGB1,
LAMB2,,ITGA7,ITGB1,
LAMB3,,ITGA7,ITGB1,
LAMC1,,ITGA7,ITGB1,
LAMC2,,ITGA7,ITGB1,
LAMC3,,ITGA7,ITGB1,
VTN,,ITGA8,ITGB1,
TNC,,ITGA8,ITGB1,
TNR,,ITGA8,ITGB1,
TNN,,ITGA8,ITGB1,
TNXB,,ITGA8,ITGB1,
NPNT1,,ITGA8,ITGB1,
NPNT2,,ITGA8,ITGB1,
TNC,,ITGA9,ITGB1,
TNR,,ITGA9,ITGB1,
TNN,,ITGA9,ITGB1,
TNXB,,ITGA9,ITGB1,
COL1A1,,ITGA9,ITGB1,
COL1A2,,ITGA9,ITGB1,
COL2A1,,ITGA9,ITGB1,
COL4A1,,ITGA9,ITGB1,
COL4A2,,ITGA9,ITGB1,
COL4A3,,ITGA9,ITGB1,
COL4A4,,ITGA9,ITGB1,
COL4A5,,ITGA9,ITGB1,
COL4A6,,ITGA9,ITGB1,
COL6A1,,ITGA9,ITGB1,
COL6A2,,ITGA9,ITGB1,
COL6A3,,ITGA9,ITGB1,
COL6A5,,ITGA9,ITGB1,
COL6A6,,ITGA9,ITGB1,
COL9A1,,ITGA9,ITGB1,
COL9A2,,ITGA9,ITGB1,
COL9A3,,ITGA9,ITGB1,
LAMA1,,ITGA9,ITGB1,
LAMA2,,ITGA9,ITGB1,
LAMA3,,ITGA9,ITGB1,
LAMA4,,ITGA9,ITGB1,
LAMA5,,ITGA9,ITGB1,
LAMB1,,ITGA9,ITGB1,
LAMB2,,ITGA9,ITGB1,
LAMB3,,ITGA9,ITGB1,
LAMC1,,ITGA9,ITGB1,
LAMC2,,ITGA9,ITGB1,
LAMC3,,ITGA9,ITGB1,
COL1A1,,ITGA10,ITGB1,
COL1A2,,ITGA10,ITGB1,
COL2A1,,ITGA10,ITGB1,
COL4A1,,ITGA10,ITGB1,
COL4A2,,ITGA10,ITGB1,
COL4A3,,ITGA10,ITGB1,
COL4A4,,ITGA10,ITGB1,
COL4A5,,ITGA10,ITGB1,
COL4A6,,ITGA10,ITGB1,
COL6A1,,ITGA10,ITGB1,
COL6A2,,ITGA10,ITGB1,
COL6A3,,ITGA10,ITGB1,
COL6A5,,ITGA10,ITGB1,
COL6A6,,ITGA10,ITGB1,
COL9A1,,ITGA10,ITGB1,
COL9A2,,ITGA10,ITGB1,
COL9A3,,ITGA10,ITGB1,
COL1A1,,ITGA11,ITGB1,
COL1A2,,ITGA11,ITGB1,
COL2A1,,ITGA11,ITGB1,
COL4A1,,ITGA11,ITGB1,
COL4A2,,ITGA11,ITGB1,
COL4A3,,ITGA11,ITGB1,
COL4A4,,ITGA11,ITGB1,
COL4A5,,ITGA11,ITGB1,
COL4A6,,ITGA11,ITGB1,
COL6A1,,ITGA11,ITGB1,
COL6A2,,ITGA11,ITGB1,
COL6A3,,ITGA11,ITGB1,
COL6A5,,ITGA11,ITGB1,
COL6A6,,ITGA11,ITGB1,
COL9A1,,ITGA11,ITGB1,
COL9A2,,ITGA11,ITGB1,
COL9A3,,ITGA11,ITGB1,
VTN,,ITGAV,ITGB1,
VTN,,ITGAV,ITGB3,
VWF,,ITGAV,ITGB3,
TNR,,ITGAV,ITGB3,
TNN,,ITGAV,ITGB3,
TNXB,,ITGAV,ITGB3,
IBSP,,ITGAV,ITGB3,
THBS1,,ITGAV,ITGB3,
THBS2,,ITGAV,ITGB3,
THBS3,,ITGAV,ITGB3,
THBS4,,ITGAV,ITGB3,
COMP,,ITGAV,ITGB3,
DMP1,,ITGAV,ITGB3,
VTN,,ITGA2B,ITGB3,
VWF,,ITGA2B,ITGB3,
TNR,,ITGA2B,ITGB3,
TNN,,ITGA2B,ITGB3,
TNXB,,ITGA2B,ITGB3,
VTN,,ITGAV,ITGB5,
IBSP,,ITGAV,ITGB5,
TNR,,ITGAV,ITGB6,
TNN,,ITGAV,ITGB6,
TNXB,,ITGAV,ITGB6,
VTN,,ITGAV,ITGB8,
LAMA1,,ITGAV,ITGB8,
LAMA2,,ITGAV,ITGB8,
LAMA3,,ITGAV,ITGB8,
LAMA4,,ITGAV,ITGB8,
LAMA5,,ITGAV,ITGB8,
LAMB1,,ITGAV,ITGB8,
LAMB2,,ITGAV,ITGB8,
LAMB3,,ITGAV,ITGB8,
LAMC1,,ITGAV,ITGB8,
LAMC2,,ITGAV,ITGB8,
LAMC3,,ITGAV,ITGB8,
COL1A1,,ITGAV,ITGB8,
COL1A2,,ITGAV,ITGB8,
COL2A1,,ITGAV,ITGB8,
COL4A1,,ITGAV,ITGB8,
COL4A2,,ITGAV,ITGB8,
COL4A3,,ITGAV,ITGB8,
COL4A4,,ITGAV,ITGB8,
COL4A5,,ITGAV,ITGB8,
COL4A6,,ITGAV,ITGB8,
COL6A1,,ITGAV,ITGB8,
COL6A2,,ITGAV,ITGB8,
COL6A3,,ITGAV,ITGB8,
COL6A5,,ITGAV,ITGB8,
COL6A6,,ITGAV,ITGB8,
COL9A1,,ITGAV,ITGB8,
COL9A2,,ITGAV,ITGB8,
COL9A3,,ITGAV,ITGB8,
LAMA1,,ITGA6,ITGB4,
LAMA2,,ITGA6,ITGB4,
LAMA3,,ITGA6,ITGB4,
LAMA4,,ITGA6,ITGB4,
LAMA5,,ITGA6,ITGB4,
LAMB1,,ITGA6,ITGB4,
LAMB2,,ITGA6,ITGB4,
LAMB3,,ITGA6,ITGB4,
LAMC1,,ITGA6,ITGB4,
LAMC2,,ITGA6,ITGB4,
LAMC3,,ITGA6,ITGB4,
COL1A1,,CD44,,
COL1A2,,CD44,,
COL2A1,,CD44,,
COL4A1,,CD44,,
COL4A2,,CD44,,
COL4A3,,CD44,,
COL4A4,,CD44,,
COL4A5,,CD44,,
COL4A6,,CD44,,
COL6A1,,CD44,,
COL6A2,,CD44,,
COL6A3,,CD44,,
COL6A5,,CD44,,
COL6A6,,CD44,,
COL9A1,,CD44,,
COL9A2,,CD44,,
COL9A3,,CD44,,
LAMA1,,CD44,,
LAMA2,,CD44,,
LAMA3,,CD44,,
LAMA4,,CD44,,
LAMA5,,CD44,,
LAMB1,,CD44,,
LAMB2,,CD44,,
LAMB3,,CD44,,
LAMC1,,CD44,,
LAMC2,,CD44,,
LAMC3,,CD44,,
COL1A1,,SDC1,,
COL1A2,,SDC1,,
COL2A1,,SDC1,,
COL4A1,,SDC1,,
COL4A2,,SDC1,,
COL4A3,,SDC1,,
COL4A4,,SDC1,,
COL4A5,,SDC1,,
COL4A6,,SDC1,,
COL6A1,,SDC1,,
COL6A2,,SDC1,,
COL6A3,,SDC1,,
COL6A5,,SDC1,,
COL6A6,,SDC1,,
COL9A1,,SDC1,,
COL9A2,,SDC1,,
COL9A3,,SDC1,,
TNR,,SDC1,,
TNN,,SDC1,,
TNXB,,SDC1,,
THBS1,,SDC1,,
THBS2,,SDC1,,
THBS3,,SDC1,,
THBS4,,SDC1,,
COMP,,SDC1,,
COL1A1,,SDC4,,
COL1A2,,SDC4,,
COL2A1,,SDC4,,
COL4A1,,SDC4,,
COL4A2,,SDC4,,
COL4A3,,SDC4,,
COL4A4,,SDC4,,
COL4A5,,SDC4,,
COL4A6,,SDC4,,
COL6A1,,SDC4,,
COL6A2,,SDC4,,
COL6A3,,SDC4,,
COL6A5,,SDC4,,
COL6A6,,SDC4,,
COL9A1,,SDC4,,
COL9A2,,SDC4,,
COL9A3,,SDC4,,
TNR,,SDC4,,
TNN,,SDC4,,
TNXB,,SDC4,,
THBS1,,SDC4,,
THBS2,,SDC4,,
THBS3,,SDC4,,
THBS4,,SDC4,,
COMP,,SDC4,,
LAMA1,,SV2A,,
LAMA4,,SV2A,,
LAMB1,,SV2A,,
LAMB2,,SV2A,,
LAMC1,,SV2A,,
LAMC3,,SV2A,,
LAMA1,,SV2B,,
LAMA2,,SV2B,,
LAMA3,,SV2B,,
LAMA4,,SV2B,,
LAMA5,,SV2B,,
LAMB1,,SV2B,,
LAMB2,,SV2B,,
LAMB3,,SV2B,,
LAMC1,,SV2B,,
LAMC2,,SV2B,,
LAMC3,,SV2B,,
LAMA1,,SV2C,,
LAMA4,,SV2C,,
LAMB1,,SV2C,,
LAMB2,,SV2C,,
LAMC1,,SV2C,,
LAMC3,,SV2C,,
THBS1,,CD36,,
THBS2,,CD36,,
THBS3,,CD36,,
THBS4,,CD36,,
COMP,,CD36,,
THBS1,,CD47,,
THBS2,,CD47,,
THBS3,,CD47,,
THBS4,,CD47,,
COMP,,CD47,,
AGRN,,DAG1,,
HSPG2,,DAG1,,
LAMA1,,DAG1,,
LAMA2,,DAG1,,
LAMA3,,DAG1,,
LAMA4,,DAG1,,
LAMA5,,DAG1,,
LAMB1,,DAG1,,
LAMB2,,DAG1,,
LAMB3,,DAG1,,
LAMC1,,DAG1,,
LAMC2,,DAG1,,
LAMC3,,DAG1,,
CADM3,,CADM3,,
CD40LG,,CD40,,
CD46,,JAG1,,
CD86,,CD28,,
CD86,,CTLA4,,
CD99,,PILRA,,
CD99,,CD99,,
CD99,,CD99L2,,
CDH1,,CDH1,,
CDH1,,ITGAE,ITGB7,
CDH1,,KLRG1,,
CNTN2,,L1CAM,,
CSPG4,,ITGA2,ITGB1,
DSC1,,DSG2,,
DSC2,,DSG1,,
DSC2,,DSG2,,
DSG2,,DSC3,,
EPGN,,EGFR,,
EFNA1,,EPHA1,,
EFNA1,,EPHA2,,
EFNA1,,EPHA3,,
EFNA1,,EPHA4,,
EFNA1,,EPHA5,,
EFNA1,,EPHA7,,
EFNA1,,EPHA8,,
EFNA2,,EPHA1,,
EFNA2,,EPHA2,,
EFNA2,,EPHA3,,
EFNA2,,EPHA4,,
EFNA2,,EPHA5,,
EFNA2,,EPHA7,,
EFNA2,,EPHA8,,
EFNA3,,EPHA1,,
EFNA3,,EPHA2,,
EFNA3,,EPHA3,,
EFNA3,,EPHA4,,
EFNA3,,EPHA5,,
EFNA3,,EPHA7,,
EFNA3,,EPHA8,,
EFNA4,,EPHA1,,
EFNA4,,EPHA2,,
EFNA4,,EPHA3,,
EFNA4,,EPHA4,,
EFNA4,,EPHA5,,
EFNA4,,EPHA7,,
EFNA4,,EPHA8,,
EFNA5,,EPHA1,,
EFNA5,,EPHA2,,
EFNA5,,EPHA3,,
EFNA5,,EPHA4,,
EFNA5,,EPHA5,,
EFNA5,,EPHA7,,
EFNA5,,EPHA8,,
EFNA5,,EPHB2,,
ICAM1,,ITGAL,ITGB2,
LOC616254,,ITGAL,ITGB2,
ICAM1,,ITGAM,ITGB2,
LOC616254,,ITGAM,ITGB2,
ICAM1,,ITGAL,,
ITGB2,,CD226,,
ITGB2,,ICAM1,,
ITGB2,,ICAM2,,
JAM2,,ITGA3,ITGB1,
JAM2,,ITGAV,ITGB1,
JAM3,,ITGAM,ITGB2,
JAM1,,ITGAL,ITGB2,
JAM2,,JAM3,,
F11R,,F11R,,
F11R,,JAM2,,
F11R,,JAM3,,
JAM2,,F11R,,
JAM2,,JAM2,,
JAM3,,F11R,,
JAM3,,JAM2,,
JAM3,,JAM3,,
L1CAM,,ITGAV,ITGB3,
L1CAM,,ITGA4,ITGB7,
L1CAM,,L1CAM,,
MPZ,,MPZL1,,
MPZL1,,MPZL1,,
NCAM1,,FGFR1,,
NCAM1,,L1CAM,,
NCAM2,,L1CAM,,
NECTIN1,,CADM3,,
LRRC4B,,PTPRF,,
DLL1,,NOTCH1,,
DLL1,,NOTCH3,,
DLL1,,NOTCH4,,
DLL3,,NOTCH1,,
DLL3,,NOTCH2,,
DLL3,,NOTCH3,,
DLL3,,NOTCH4,,
DLL4,,NOTCH1,,
DLL4,,NOTCH2,,
DLL4,,NOTCH3,,
DLL4,,NOTCH4,,
JAG1,,NOTCH1,,
JAG1,,NOTCH2,,
JAG1,,NOTCH3,,
JAG1,,NOTCH4,,
JAG2,,NOTCH1,,
JAG2,,NOTCH2,,
JAG2,,NOTCH3,,
JAG2,,NOTCH4,,
DLL1,,NOTCH2,,
OCLN,,OCLN,,
SELL,,CD34,,
SELL,,PODXL,,
SELL,,MADCAM1,,
SEMA4A,,NRP1,PLXNA1,
SEMA4A,,NRP1,PLXNA2,
SEMA4A,,NRP1,PLXNA3,
SEMA4A,,NRP1,PLXNA4,
SEMA4A,,PLXNB2,,
SEMA4D,,PLXNB2,,
SEMA4C,,PLXNB2,,
SEMA4G,,PLXNB2,,
SEMA5A,,PLXNA1,,
SEMA5A,,PLXNA3,,
SEMA5A,,PLXNB3,,
SEMA6D,,PLXNA1,KDR,
SEMA7A,,PLXNC1,,
THY1,,ITGAM,ITGB2,
THY1,,ITGAX,ITGB2,
THY1,,ITGAV,ITGB3,
CDH1,,ITGA2,ITGB1,
CADM3,,CADM1,,
CADM3,,CADM4,,
CADM3,,EPB41L1,,
COL10A1,,ITGA10,ITGB1,
COL10A1,,ITGA11,ITGB1,
COL10A1,,ITGA2,ITGB1,
COL11A1,,ITGA10,ITGB1,
COL11A1,,ITGA11,ITGB1,
COL11A1,,ITGA2,ITGB1,
COL11A2,,ITGA10,ITGB1,
COL11A2,,ITGA11,ITGB1,
COL11A2,,ITGA2,ITGB1,
COL12A1,,ITGA10,ITGB1,
COL12A1,,ITGA11,ITGB1,
COL12A1,,ITGA2,ITGB1,
COL13A1,,ITGA10,ITGB1,
COL13A1,,ITGA11,ITGB1,
COL13A1,,ITGA2,ITGB1,
COL14A1,,ITGA10,ITGB1,
COL14A1,,ITGA11,ITGB1,
COL14A1,,ITGA2,ITGB1,
COL15A1,,ITGA10,ITGB1,
COL15A1,,ITGA11,ITGB1,
COL15A1,,ITGA2,ITGB1,
COL16A1,,ITGA10,ITGB1,
COL16A1,,ITGA11,ITGB1,
COL16A1,,ITGA2,ITGB1,
COL17A1,,ITGA10,ITGB1,
COL17A1,,ITGA11,ITGB1,
COL17A1,,ITGA2,ITGB1,
COL19A1,,ITGA10,ITGB1,
COL19A1,,ITGA11,ITGB1,
COL19A1,,ITGA2,ITGB1,
COL20A1,,ITGA10,ITGB1,
COL20A1,,ITGA11,ITGB1,
COL20A1,,ITGA2,ITGB1,
COL21A1,,ITGA10,ITGB1,
COL21A1,,ITGA11,ITGB1,
COL21A1,,ITGA2,ITGB1,
COL22A1,,ITGA10,ITGB1,
COL22A1,,ITGA11,ITGB1,
COL22A1,,ITGA2,ITGB1,
COL27A1,,ITGA10,ITGB1,
COL27A1,,ITGA11,ITGB1,
COL27A1,,ITGA2,ITGB1,
COL28A1,,ITGA10,ITGB1,
COL28A1,,ITGA11,ITGB1,
COL28A1,,ITGA2,ITGB1,
COL5A3,,ITGA10,ITGB1,
COL5A3,,ITGA11,ITGB1,
COL5A3,,ITGA2,ITGB1,
COL7A1,,ITGA10,ITGB1,
COL7A1,,ITGA11,ITGB1,
COL7A1,,ITGA2,ITGB1,
COL8A1,,ITGA10,ITGB1,
COL8A1,,ITGA11,ITGB1,
COL8A1,,ITGA2,ITGB1,
COL8A2,,ITGA10,ITGB1,
COL8A2,,ITGA11,ITGB1,
COL8A2,,ITGA2,ITGB1,
DSG1,,DSC2,,
DAG1,,CELSR3,,
GJA1,,GJA1,,
GJA1,,GJA5,,
GJA3,,GJA1,,
GJC1,,GJA1,,
LOC100140873,,ITGAL,ITGB2,
ICAM3,,ITGAD,ITGB2,
ICAM3,,ITGAL,ITGB2,
ICAM4,,ITGAL,ITGB2,
JAM2,,ITGA4,ITGB1,
L1CAM,,EZR,L1CAM,
L1CAM,,ITGA2B,ITGB3,
L1CAM,,ITGA5,ITGB1,
L1CAM,,ITGA9,ITGB1,
L1CAM,,ITGAV,ITGB1,
LAMC1,,ITGAV,ITGB3,
F10,,ITGAM,ITGB2,
F11R,,ITGAL,ITGB2,
F2,,ITGA2B,ITGB3,
F2,,ITGAV,ITGB3,
THBS1,,ITGA2B,ITGB3,
LOC534578,,ITGA4,ITGB1,
VCAM1,,ITGA9,ITGB1,
VCAM1,,ITGAD,ITGB2,
LOC615045,,ITGA4,ITGB1,
PLA2G2A,,ITGA5,ITGB1,
CHAT,,CHRM2,,
CHAT,,CHRNA3,CHRNA5,CHRNB2
CHAT,,CHRNA3,CHRNA5,CHRNB4
CHAT,,CHRNA4,CHRNB2,
PNMT,SLC18A1,ADRA2C,,
PNMT,SLC18A1,ADRB2,,
PNMT,SLC18A2,ADRA2C,,
PNMT,SLC18A2,ADRB2,,
ADM,,CALCRL,GPER,RAMP3
ADM,,RAMP3,,
ADM2,,CALCRL,GPER,RAMP3
ADM2,,CALCRL,RAMP2,
AGRP,,MC2R,,
AGRP,,MC3R,,
AGRP,,MC4R,,
AGRP,,MC5R,,
ASIP,,MC1R,,
AGRN,,LRP4,MUSK,
AGRN,,PTPRS,,
APP,,PLXNA4,,
APP,,SORL1,,
APP,,TNFRSF21,,
APP,,TREM2,TYROBP,
APLP2,,PIGR,,
APLP2,,PLXNA4,,
SRD5A1,,AR,,
CYP19A1,,ESR1,,
APOA1,,ABCA1,,
APOA1,,AMN,CUBN,
APOA1,,TREM2,TYROBP,
APOE,,TREM2,TYROBP,
DAGLA,,CNR2,,
DAGLB,,CNR2,,
NGF,,SORT1,,
BMP10,,ACVR2A,ACVRL1,
BMP15,GDF2,ACVR1B,BMPR1B,BMPR2
BMP2,,ACVR2A,BMPR1A,
BMP2,,ACVR2A,BMPR1B,
BMP2,,ACVR2B,BMPR1A,
BMP2,,ACVR2B,BMPR1B,
BMP4,,ACVR2A,BMPR1A,
BMP4,,ACVR2A,BMPR1B,
BMP4,,ACVR2B,BMPR1A,
BMP4,,ACVR2B,BMPR1B,
BMP5,,ACVR2A,BMPR1A,
BMP5,,ACVR2A,BMPR1B,
BMP5,,ACVR2B,BMPR1A,
BMP5,,ACVR2B,BMPR1B,
BMP6,,ACVR2A,BMPR1A,
BMP6,,ACVR2A,BMPR1B,
BMP6,,ACVR2B,BMPR1A,
BMP6,,ACVR2B,BMPR1B,
BMP7,,ACVR2A,BMPR1A,
BMP7,,ACVR2A,BMPR1B,
BMP7,,ACVR2B,BMPR1A,
BMP7,,ACVR2B,BMPR1B,
BMPR1B,BMPR2,BMPR1A,,
BDNF,,NGFR,,
BDNF,,SORT1,,
CLSTN1,,NRXN1,,
CLSTN1,,NRXN2,,
CCL11,,DPP4,,
CCL14,,CCR3,,
CCL16,,CCR2,,
CCL19,,CCRL2,,
CCL25,,ACKR4,,
CCL25,,CCR9,,
CCL26,,CCR1,,
CCL26,,CCR2,,
CCL27,,CCR10,,
LOC616364,,ACKR2,,
LOC525415,,CCR3,,
CCL8,,CCR3,,
CXCL11,,CXCR7,,
CXCL12,,CXCR4,,
CXCL13,,ACKR4,,
CXCL14,,CXCR4,,
LIPA,,RORA,,
LIPA,,RORC,,
DHCR24,,RORA,,
DHCR24,,RORC,,
DHCR7,,NR1H2,,
C10orf99,,SUSD2,,
C4A,,GPR77,,
SULT1E1,,PPARA,,
LOC514658,,PPARA,,
UBASH3B,,ESR1,,
UBASH3B,,PPARA,,
DHH,,BOC,PTCH1,
DHH,,CDON,PTCH1,
DHH,,GAS1,PTCH1,
DHRS9,,PGR,,
LOC538751,,EGFR,,
HBEGF,,ERBB2,,
HSD17B1,,ESR1,,
FCER2,,FGFR2,,
FCER2,,ITGAM,ITGB2,
FCER2,,ITGAV,ITGB3,
FCER2,,ITGAX,ITGB2,
FGF1,,ITGAV,ITGB3,
FGF19,,FGFR4,KLB,
FGF2,,ITGAV,ITGB3,
FGF21,,FGFR4,KLB,
FGF23,,FGFR1,KL,
GAD1,SLC32A1,GABBR1,,
GAD1,SLC32A1,GABBR2,,
GAD1,SLC32A1,GABRA1,GABRB2,
GAD1,SLC32A1,GABRA1,GABRB2,GABRD
GAD1,SLC32A1,GABRA1,GABRB2,GABRG2
GAD1,SLC32A1,GABRA1,GABRB3,
GAD1,SLC32A1,GABRA1,GABRB3,GABRG2
GAD1,SLC32A1,GABRA2,GABRB3,GABRG2
GAD1,SLC32A1,GABRA3,GABRB3,GABRE
GAD1,SLC32A1,GABRA3,GABRB3,GABRG2
GAD1,SLC32A1,GABRA3,GABRB3,GABRQ
GAD1,SLC32A1,GABRA4,GABRB2,GABRD
GAD1,SLC32A1,GABRA4,GABRB3,GABRD
GAD1,SLC32A1,GABRA4,GABRB3,GABRG2
GAD1,SLC32A1,GABRA5,GABRB3,GABRG2
GAD1,SLC32A1,GABRA6,GABRB3,GABRD
GAD1,SLC32A1,GABRA6,GABRB3,GABRG2
GAD1,SLC6A1,GABBR1,,
GAD1,SLC6A1,GABBR2,,
GAD1,SLC6A1,GABRA1,GABRB2,
GAD1,SLC6A1,GABRA1,GABRB2,GABRD
GAD1,SLC6A1,GABRA1,GABRB2,GABRG2
GAD1,SLC6A1,GABRA1,GABRB3,
GAD1,SLC6A1,GABRA1,GABRB3,GABRG2
GAD1,SLC6A1,GABRA2,GABRB3,GABRG2
GAD1,SLC6A1,GABRA3,GABRB3,GABRE
GAD1,SLC6A1,GABRA3,GABRB3,GABRG2
GAD1,SLC6A1,GABRA3,GABRB3,GABRQ
GAD1,SLC6A1,GABRA4,GABRB2,GABRD
GAD1,SLC6A1,GABRA4,GABRB3,GABRD
GAD1,SLC6A1,GABRA4,GABRB3,GABRG2
GAD1,SLC6A1,GABRA5,GABRB3,GABRG2
GAD1,SLC6A1,GABRA6,GABRB3,GABRD
GAD1,SLC6A1,GABRA6,GABRB3,GABRG2
GAD1,SLC6A11,GABBR1,,
GAD1,SLC6A11,GABBR2,,
GAD1,SLC6A11,GABRA1,GABRB2,
GAD1,SLC6A11,GABRA1,GABRB2,GABRD
GAD1,SLC6A11,GABRA1,GABRB2,GABRG2
GAD1,SLC6A11,GABRA1,GABRB3,
GAD1,SLC6A11,GABRA1,GABRB3,GABRG2
GAD1,SLC6A11,GABRA2,GABRB3,GABRG2
GAD1,SLC6A11,GABRA3,GABRB3,GABRE
GAD1,SLC6A11,GABRA3,GABRB3,GABRG2
GAD1,SLC6A11,GABRA3,GABRB3,GABRQ
GAD1,SLC6A11,GABRA4,GABRB2,GABRD
GAD1,SLC6A11,GABRA4,GABRB3,GABRD
GAD1,SLC6A11,GABRA4,GABRB3,GABRG2
GAD1,SLC6A11,GABRA5,GABRB3,GABRG2
GAD1,SLC6A11,GABRA6,GABRB3,GABRD
GAD1,SLC6A11,GABRA6,GABRB3,GABRG2
GAD1,SLC6A13,GABBR1,,
GAD1,SLC6A13,GABBR2,,
GAD1,SLC6A13,GABRA1,GABRB2,
GAD1,SLC6A13,GABRA1,GABRB2,GABRD
GAD1,SLC6A13,GABRA1,GABRB2,GABRG2
GAD1,SLC6A13,GABRA1,GABRB3,
GAD1,SLC6A13,GABRA1,GABRB3,GABRG2
GAD1,SLC6A13,GABRA2,GABRB3,GABRG2
GAD1,SLC6A13,GABRA3,GABRB3,GABRE
GAD1,SLC6A13,GABRA3,GABRB3,GABRG2
GAD1,SLC6A13,GABRA3,GABRB3,GABRQ
GAD1,SLC6A13,GABRA4,GABRB2,GABRD
GAD1,SLC6A13,GABRA4,GABRB3,GABRD
GAD1,SLC6A13,GABRA4,GABRB3,GABRG2
GAD1,SLC6A13,GABRA5,GABRB3,GABRG2
GAD1,SLC6A13,GABRA6,GABRB3,GABRD
GAD1,SLC6A13,GABRA6,GABRB3,GABRG2
GAD1,SLC6A6,GABBR1,,
GAD1,SLC6A6,GABBR2,,
GAD1,SLC6A6,GABRA1,GABRB2,
GAD1,SLC6A6,GABRA1,GABRB2,GABRD
GAD1,SLC6A6,GABRA1,GABRB2,GABRG2
GAD1,SLC6A6,GABRA1,GABRB3,
GAD1,SLC6A6,GABRA1,GABRB3,GABRG2
GAD1,SLC6A6,GABRA2,GABRB3,GABRG2
GAD1,SLC6A6,GABRA3,GABRB3,GABRE
GAD1,SLC6A6,GABRA3,GABRB3,GABRG2
GAD1,SLC6A6,GABRA3,GABRB3,GABRQ
GAD1,SLC6A6,GABRA4,GABRB2,GABRD
GAD1,SLC6A6,GABRA4,GABRB3,GABRD
GAD1,SLC6A6,GABRA4,GABRB3,GABRG2
GAD1,SLC6A6,GABRA5,GABRB3,GABRG2
GAD1,SLC6A6,GABRA6,GABRB3,GABRD
GAD1,SLC6A6,GABRA6,GABRB3,GABRG2
GAD1,SLC6A8,GABBR1,,
GAD1,SLC6A8,GABBR2,,
GAD1,SLC6A8,GABRA1,GABRB2,
GAD1,SLC6A8,GABRA1,GABRB2,GABRD
GAD1,SLC6A8,GABRA1,GABRB2,GABRG2
GAD1,SLC6A8,GABRA1,GABRB3,
GAD1,SLC6A8,GABRA1,GABRB3,GABRG2
GAD1,SLC6A8,GABRA2,GABRB3,GABRG2
GAD1,SLC6A8,GABRA3,GABRB3,GABRE
GAD1,SLC6A8,GABRA3,GABRB3,GABRG2
GAD1,SLC6A8,GABRA3,GABRB3,GABRQ
GAD1,SLC6A8,GABRA4,GABRB2,GABRD
